number,jp,cn,kr,en
1133,三分経った。,三分钟后。,3분 지났다.,
1134,「……」,“……”,「…….」,
1135,ユエナからの返信はない。,没有收到由依奈的回复。,유에나한테 답장이 오지 않는다.,
1136,ぼくはユエナを見る。,我看向了由依奈。,나는 유에나를 확인해 보았다.,
1137,「……あ」,“……啊。”,「……아.」,
1138,「――っ」,“——”,「――윽.」,
1139,目が合う。,我们四目相接。,눈이 마주친다.,
1140,ユエナはすぐに逸らして、スマホを触っている。,由依奈立刻移开视线，开始用手机打字。,유에나는 곧바로 눈을 피하고 스마트폰을 두드렸다.,
1141,メッセージがきた。,我又收到了消息。,메시지가 온다.,
1142,ごめんなさい,对不起,유에나：미안해,
1143,そう謝っていた。,由依奈向我道了歉。,느닷없이 사과한다.,
1144,ぼくも案外チョロいもので、ユエナにちょっと悪い事しちゃったかなと思う。,我也真是够好哄的，感觉对由依奈好像有点太过分了。,마음이 약한 편이라 유에나에게 조금 미안한 짓을 했나 걱정한다.,
1145,でも椿木先生にも言われてるし、先輩にも言われてるし、そもそも授業中にスマホは触っちゃだめだし、バレたら後が怖いし。,但椿木老师和学姐都叮嘱过了，而且上课玩手机本身就是不可取的，更不用说被老师发现的后果。,"그래도 츠바키 선생님도 그랬고 선배님도 그랬고, 원래 수업 중에 스마트폰은 만지면 안 되는 거니까. 들키면 감당하기도 힘들고.",
1146,だけど――,但是——,하지만――,
1147,もしもユエナがこうやって送ってこなかったら、ぼくは一度も授業中にスマホを触らずに卒業してしまうことになる。,如果由依奈没有发消息过来，我直到毕业都不会在上课的时候碰手机。,만약 유에나가 이렇게 보내지 않았다면 나는 수업 중에 한 번도 스마트폰을 만지지 않고 졸업하게 됐을 것이다.,
1148,これがかっこいいことかは分からないけど、でも,虽然不知道这种行为算不算帅气，可是——,"이게 멋진 일인지는 모르겠지만, 그래도",
1149,普通、授業中に、席の離れた人同士で会話することなんて滅多にできない。,正常来说，上课的时候很难跟座位远的同学交谈。,"보통 수업 중에, 자리가 떨어져 있는 사람끼리 대화하는 경우는 거의 없다.",
1150,そういう近そうにみえて遠い距離を埋める感覚、権力みたいな自分よりも大きな概念に抗う感覚。,仿佛填补了这咫尺天涯的距离，有种反抗强权的感觉。,이렇게 가까우면서도 먼 거리를 채우는 감각. 권력 같은 힘보다 더 큰 개념에 거스르는 감각.,
1151,それはやっぱり、楽しく思えた。,果然很让人开心。,그건 역시나 즐겁게 느껴졌다.,
1152,だから……,所以……,그래서…….,
1153,分かってるならいいよ,知错就好,토모키：알면 됐어,
1154,でも楽しいよね、こういうの,不过这样是很开心啊,"토모키：그래도 즐겁지, 이런 거 하면",
1155,「……はわぁ」,“……哇。”,「……와아.」,
1156,ユエナを一瞥するとすごく嬉しそうな顔をしている。ちょっと照れる。,我看了由依奈一眼，看她一脸开心的表情，我都有点不好意思了。,유에나를 힐끔 쳐다본다. 표정이 굉장히 기뻐 보였다. 좀 부끄럽다.,
1157,ぼくはそれを誤魔化すように前を見る。,我再次看向前方，掩饰自己的羞涩。,나는 부끄러움을 중화하기 위해 앞을 바라보았다.,
1158,メッセージが、また一つきた。,然后又收到了一条消息。,메시지가 하나 더 온다.,
1159,うん！！(*‘∀‘),嗯！！(*‘∀‘),유에나：응!! (*‘∀‘),
1160,「……ははっ」,“……哈哈。”,「……하하.」,
1161,( ｀ー´)ノ,(｀—´)ノ,토모키：( ｀ー´)ノ,
1162,顔文字を一つ送信する。,我发了个颜文字过去。,얼굴 문자를 하나 전송한다.,
1163,そんなことをしながら、ぼくは初めて、授業中にスマホを触った。,就这样，我第一次在上课时间用了手机。,"그렇게 나는, 처음으로 수업 중에 스마트폰을 사용했다.",
1164,授業が終わる。,下课时间。,수업이 끝났다.,
1165,「ったく、感謝しろよ？」,“真是的，你得记得感谢我啊。”,「진짜 너. 고마운 줄 알아라.」,
1166,終わるや否や航生が振り向く。,刚一下课，航生就回过头来。,끝나자마자 코세이가 돌아본다.,
1167,「うん、ほんと助かった」,“嗯，真是多谢了。”,"「응, 진짜 고맙다.」",
1168,「通知くらい切っとけよ、バレたらめんどいぞ」,“至少把通知关了啊，被老师发现就麻烦了。”,「알림 정도는 꺼 놔. 들키면 귀찮아지잖아.」,
1169,「そうだね、うっかりしてた。ちゃんとからあげは一つあげるから」,“是啊，太不小心了。我会分你一块炸鸡的。”,「그래야지. 깜빡했어. 닭튀김 하나 줄게.」,
1170,「二回鳴ったから、二個だ」,“响了两次，所以要两块。”,「2번 울렸으니까 2갠데.」,
1171,「え……。まあ、いっか。いいよ、お礼ね」,“哎……好吧，没问题，就当感谢你了。”,"「뭐……. 뭐, 그래. 알겠어. 도와줬으니까.」",
1172,「よっしゃラッキー」,“好耶。”,"「오케이, 나이스ー」",
1173,そんな航生の背中を見てからユエナを見る。,我的目光从航生的后背移向由依奈。,그런 코세이의 뒷모습을 바라보다가 유에나를 쳐다본다.,
1174,ユエナは女子に囲まれていた。おおかたスマホのことだろう。,她正被女生团团围住，估计是因为手机的事情吧。,유에나는 여자들에게 둘러싸여 있다. 아마 스마트폰 때문일 것이다.,
1175,声はごちゃごちゃしていて何を話しているかは分からない。,那边吵吵嚷嚷的，听不清在说什么。,목소리가 겹치는 탓에 무슨 말을 하는지 알 수 없다.,
1176,「たまにはこういうのもいいかもしれない」,“偶尔这样一次或许也不错。”,「가끔은 이런 것도 좋을 수 있어.」,
1177,楽しかった。,真是开心。,재밌었다.,
1178,でも、一回きりだ。今日の部活でちゃんと注意はしておかなくちゃ。,但是下不为例。今天社团活动的时候一定要好好叮嘱她。,그래도 한 번뿐이다. 오늘 동아리에서 확실히 주의를 줘야겠다.,
1179,ぼくはそう決心する。,我暗自下定决心。,나는 그렇게 결심했다.,
1180,最後の授業も終わり、帰りのホームルームも終わった。,最后一节课与班会都已经结束。,마지막 수업이 끝나고 귀가 전 홈룸까지 끝났다.,
1181,部活だ。,社团活动时间。,동아리 활동이다.,
1182,先輩がいない初めての部活。,第一次没有学姐参加的社团活动。,선배님이 없는 첫 동아리.,
1183,「あれ、今日急いでねえの？」,“咦，你今天怎么慢腾腾的？”,「어라. 오늘은 느긋하네?」,
1184,航生が部活の格好に着替えながら聞いてくる。,航生一边换着社团活动的服装，一边向我问道。,코세이가 동아리 복장으로 환복하며 묻는다.,
1185,「今日、先輩いないんだ。だから急ぐ必要もないかなって」,“学姐今天不在，所以就不用那么着急了。”,「오늘 선배님 없거든. 그래서 굳이 서두를 필요 없을 거 같아서.」,
1186,「へえ、珍しいな」,“是吗，真稀奇啊。”,"「아, 웬일이래.」",
1187,「だよね。先輩がいない部活は今日が初めて」,“是啊，今天还是第一次。”,「그러게. 선배님이 없는 동아리는 오늘이 처음이야.」,
1188,「杠葉さんと二人きりだな」,“只有你和杠叶同学两人独处呀。”,「유즈리하 양이랑 단 둘이네.」,
1189,「ちょっ！」,“喂！”,「야!」,
1190,「なんだよ、間違ってはねえだろ？　それともなんだ、なにか想像でもしたのか？」,“干嘛，我又没说错。还是说你在想象什么？”,「뭐. 틀린 말 아니잖아? 아니면 뭐야. 이상한 상상이라도 했어?」,
1191,「そんなことは全然ないけど」,“完全没有。”,「전혀 아니거든.」,
1192,「これは良い機会だ、恋愛漫画ではこれはチャンスの場合が多い。俺を信じろって」,“这是个好机会，恋爱漫画里经常有这种情节。信我准没错。”,「좋은 기회잖아. 연애 만화에서는 이런 장면 많이 나와. 나 믿어 봐.」,
1193,肩を叩かれる。,航生拍了拍我的肩膀。,어깨를 툭 친다.,
1194,「はいはい」,“是是是。”,"「그래, 그래.」",
1195,適当に流しておく。,我随口应付道。,적당히 흘려듣는다.,
1196,「ともき、いくよー」,“智纪，走吧。”,"「토모키, 가자ー」",
1197,航生とどうでもいい会話をしているとユエナがいつのまにか側にいた。,在我们闲聊的时候，由依奈不知不觉走到了我身边。,코세이와 시답잖은 이야기를 하고 있노라니 어느새 유에나가 옆에 다가와 있었다.,
1198,「ちょっとまって、まだ教科書いれてないから」,“等我一下，我还没把课本收好。”,「잠깐 기다려. 아직 교과서 정리가 덜 됐어.」,
1199,急いで教科書を鞄につめこむ。,我急忙把课本塞进包里。,급히 교과서를 가방에 쑤셔 넣는다.,
1200,ユエナは先に教室を出ていった。,由依奈先一步走出了教室。,유에나는 먼저 교실 밖으로 나섰다.,
1201,「じゃあ、部活行ってくる」,“那我去社团了。”,「그럼 동아리 갈게.」,
1202,「はいよ、いってら～」,“嗯，一路顺风～”,"「어, 그래라~」",
1203,含み合笑いをして航生は手をあげた。,航生带着意味深长的笑容向我道别。,의미심장한 미소를 띠며 코세이가 인사했다.,
1204,部室の前に来る。,来到活动室门前。,부실 앞에 선다.,
1205,ぼくはポケットの中に入った鍵を確かめる。,我摸了摸口袋里的钥匙。,나는 주머니 속에 있는 열쇠를 확인해 보았다.,
1206,今日は先輩はいない。だけど一応確かめておこう。,今天学姐不在，但我还是决定确认一下。,오늘은 선배님이 없다. 그래도 일단 확인해 두자.,
1207,トン、トンとノックする。,我敲了敲门。,"똑똑, 노크를 한다.",
1208,「ともき、今日詩乃はいないって……」,“智纪，诗乃今天不在……”,「토모키. 오늘 우타노는 없다고…….」,
1209,「ああ、うん。そうなんだけどなんとなくね。部室に入るときはこうやって入っていたし」,“啊，我知道，但就是想敲门。每次进去的时候都会敲嘛。”,"「아, 응. 그렇긴 한데 왠지 모르게. 부실에 들어갈 때는 항상 이렇게 들어갔으니까.」",
1210,「あと先輩のいたずらという可能性もゼロじゃないっていうか」,“而且学姐也可能是在恶作剧。”,「그리고 선배님이 장난 쳤을 가능성도 없진 않달까.」,
1211,だが部室の向こうからはなんの返事もない。,然而活动室内没有任何回应。,그러나 부실 안쪽에서는 아무 대답도 들려오지 않는다.,
1212,「まあ、だよね」,“我想也是。”,"「뭐, 그렇겠지.」",
1213,分かってはいたがやはり本当に先輩は今日休みだそうだ。,看来学姐今天真的不在。,알고는 있었지만 역시 선배님은 정말로 볼일이 있는 모양이다.,
1214,「ともき」,“智纪。”,「토모키.」,
1215,「なに、ユエナ」,“怎么了，由依奈。”,"「왜, 유에나.」",
1216,ポケットから鍵をとりだす。,我从口袋里掏出钥匙。,주머니에서 열쇠를 꺼낸다.,
1217,「今日は何するの？」,“今天要干什么？”,「오늘은 뭐 할 거야?」,
1218,「うーん、そうだなあ。とくにやることは決まってないけど、適当に読書したりお茶飲んだり、のんびり過ごす感じかな。言の葉サークルの活動ってだいたいそんな感じだし」,“嗯……没什么一定要做的，就随便读读书喝喝茶，悠闲一点吧。茶言阅社的活动基本都是这样的。”,「음ー 그러게. 특별히 정해진 건 없어. 적당히 독서하거나 차를 마시면서 편하게 지내는 느낌이랄까. 말소리 서클 활동은 거의 그런 식이야.」,
1219,「そう……あのっ」,“这样啊……”,「그래……. 저기!」,
1220,「ん？」,“嗯？”,「응?」,
1221,後ろを振り向く。,我回头看向后面。,뒤를 돌아본다.,
1222,「行きたい、ところがある」,“我有个想去的地方。”,"「가고 싶은, 곳이 있어.」",
1223,「行きたいところ？　パフェテロとか？」,“想去的地方？芭菲突击吗？”,「가고 싶은 곳? 파르페 테러?」,
1224,「違う。それは詩乃もいないとダメ」,“不是。芭菲突击要等诗乃才行。”,「아니야. 그건 우타노까지 같이 있어야 해.」,
1225,「そ、そう」,“是、是吗。”,"「그, 그렇구나.」",
1226,「行きたいところは」,“我想去那里。”,「가고 싶은 곳은.」,
1227,ユエナが上を指さす。,由依奈指了指上面。,유에나가 위를 가리킨다.,
1228,上？これより上は……屋上しかない。もしくは空を飛びたいということだろうか。,上面？从这里再往上……就只有天台了。还是说她想飞上天空？,위? 여기보다 위는…… 옥상밖에 없다. 어쩌면 하늘을 날고 싶다는 뜻이 아닐까.,
1229,「屋上？　それとも空？　宇宙は行けないよ」,“去天台？还是要去天上？太空的话我去不了的。”,「옥상? 아니면 하늘? 우주는 못 가.」,
1230,「屋上」,“天台。”,「옥상.」,
1231,ユエナが鞄をがさごそ漁る。,由依奈在包里翻找了一下。,유에나가 가방을 뒤적뒤적 한다.,
1232,「これ」,“这个。”,「이거.」,
1233,ユエナが鞄から取り出したのは、,她从包里拿出的是——,유에나가 가방에서 꺼낸 물건은,
1234,「これって、もしかして猫の餌？」,“这是猫粮吗？”,"「이거, 혹시 고양이 밥?」",
1235,「うん、椿木に買ってもらった。この星の生き物は、何かを食べないと生きていけないって、椿木が言ってたから」,“嗯，椿木给我买的。她说这个星球上的生物都要进食才能活下去。”,"「응. 츠바키한테 사 달라고 했어. 이 별의 생물은 무언가를 먹어야 살 수 있다고, 츠바키가 그랬으니까.」",
1236,あの人もちゃんとまともな事も教えているんだなあと感心する。,椿木老师也会教些正经的知识啊，我不由得有些感叹。,그 사람도 은근히 제대로 된 지식을 가르치는구나.,
1237,「じゃあもしかしてユエナって食べなくても生きていけたりする？」,“那你不需要吃饭也能活下去吗？”,「그럼 혹시 유에나는 아무것도 안 먹어도 살 수 있는 거야?」,
1238,「うん」,“嗯。”,「응.」,
1239,即答。,由依奈的回答毫不犹豫。,즉답.,
1240,「で、でもっ！ぱふぇてろは、食べたい！まんじゅーも、せんべーも、ボクは食べたい！むんっ」,“不、不过我想吃芭菲突击！还有馒头、仙贝，我都想吃！嗯！”,"「그, 그래도! 파르페테러는, 먹고 싶어! 만쥬도, 전병도, 나는 먹고 싶어! 흥!」",
1241,グッとユエナが拳を握る。,由依奈握紧了拳头。,유에나가 주먹을 콱 움켜쥔다.,
1242,「わ、わかったわかった。先輩がいる時に三人でまた食べよう」,“知、知道了知道了，等学姐在的时候一起吃吧。”,"「아, 알았어. 선배님이 있을 때 셋이서 또 먹자.」",
1243,「うんっ」,“嗯。”,「응!」,
1244,ユエナの笑顔にぼくまでつられて笑みがこぼれる。,我被由依奈的笑脸感染，跟着露出了笑容。,유에나가 미소 짓자 나까지 이끌리듯 웃음이 흘렀다.,
1245,「よし、じゃあ今日の言の葉サークルの活動は猫の餌やりにしようか」,“好，那茶言阅社今天的活动就是给小猫喂食。”,「좋아. 그럼 오늘 말소리 서클 활동은 고양이 먹이 주기로 할까.」,
1246,「いこいこっ」,“走吧走吧。”,"「가자, 가자!」",
1247,「でも屋上の鍵は持ってないし、さすがに空は……ってユエナ！？」,“可是我没有天台的钥匙，总不能飞到天上……由依奈？！”,"「그런데 옥상 열쇠가 없어. 그렇다고 하늘로는…… 앗, 유에나!?」",
1248,ぐいっとユエナに手を引っ張られる。,由依奈一把拉住了我的手。,유에나가 손을 훅 잡아 이끈다.,
1249,すごい力だ。,好大的力气。,엄청난 힘이다.,
1250,「え、え、ユエナ！？」,“哎，由依奈？！”,"「저, 저, 유에나!?」",
1251,ユエナが廊下の窓を開けた。,由依奈打开了走廊的窗户。,유에나가 복도 창문을 연다.,
1252,飛ぶ気だ、ここから。,她想从这里飞出去。,날아갈 생각이다. 저 창문으로.,
1253,「ちょ、ちょっと待ってユエナ。外に誰かいたら、もし見られたら……って、うわあ！」,“等、等一下啊，由依奈。万一外面有人，如果被人看到……呜哇！”,"「기, 기다려 봐, 유에나. 밖에 누구 있으면, 혹시 보이면…… 아, 우와아!」",
1254,「いっくよ～」,“出发～”,「간다~」,
1255,呑気なユエナの合図とともに、ぼくは廊下から足が離れ、未だに慣れることはない浮遊感に襲われる。,由依奈漫不经心地宣布出发，我的双脚便离开了地面，至今仍未习惯的漂浮感向我袭来。,유에나의 느른한 신호와 함께 나는 복도에서 발이 떨어졌다. 아직까지 적응되지 않는 부유감이 온몸을 감싼다.,
1256,足がばたつく。,我的双腿不断摆动。,다리가 떠오른다.,
1257,「ひゅい～ん」,“咻～”,「슈웅~」,
1258,「うわああ！」,“哇啊啊啊！”,「우와아아!」,
1259,ユエナの手にひかれ、ぼくらは廊下の窓から外へ飛び出した。,由依奈拉着我的手，通过走廊的窗户飞到外面。,유에나의 손을 잡고 우리는 복도 창문에서 밖으로 날아갔다.,
1260,慌てて辺りを見回す。,我急忙环顾四周。,서둘러 주위를 둘러본다.,
1261,ちらほらと人はいるけれど、こっちを見ている人は多分いない。そう願う。,虽然附近有几个人，但应该没人在看这边。但愿如此吧。,사람이 한둘 있었지만 이쪽을 보는 사람은 없는 것 같다. 그러길 바란다.,
1262,「んふふっ」,“哎嘿嘿。”,「우후후.」,
1263,凄い勢いで上昇する。,我们高速向上飞去。,엄청난 속도로 상승한다.,
1264,あっという間に屋上の金網を飛び越えて、ぼくは久しぶりに屋上へ足をつけた。,转瞬之间就飞过了天台的铁丝网，我久违地来到了天台。,순식간에 철망을 넘어 나는 오랜만에 옥상에 발을 디뎠다.,
1265,「し、心臓が疲れた」,“这、这对心脏不好啊。”,"「시, 심장이 멎을 거 같아.」",
1266,「ねーこ、ねっこねこ～」,“猫猫，小猫猫～”,"「고ー양이, 고양 고양이~」",
1267,パッとユエナが手を離して、屋上の隅へ駆けていく。,由依奈一松手便跑向了天台的角落。,유에나가 손을 휙 놓고 옥상 구석으로 달려간다.,
1268,あの日、ユエナと先輩と屋上で天体観測をした日に見つけた猫だと思う。,应该是我们在天台进行天文观测时看到的那只猫。,그날 유에나와 선배님과 옥상에서 천체 관측을 한 날에 보았던 고양이일 것이다.,
1269,たまたまいただけかと思ったけれど、住み着いているらしい。,本来以为它是碰巧路过，看来它就住在这里。,우연히 그때 있었던 거라고 생각했는데 옥상에 정착한 모양이다.,
1270,「それにしても、その猫はどうやってこんな屋上に来たんだろう。登れるのかな」,“不过那只猫是怎么上天台的呢，爬上来的吗？”,「그나저나 그 고양이는 어떻게 이런 옥상까지 오게 됐을까. 타고 올라올 수 있나.」,
1271,あまり想像がつかないけど、猫ならやってのけそうではある。,有点难以想象，但猫或许真的能爬上来。,도저히 상상할 수 없다. 그래도 고양이라면 할 수는 있을 듯했다.,
1272,「ともきともきっ」,“智纪智纪。”,"「토모키, 토모키!」",
1273,「なにー？」,“怎么了？”,「왜ー?」,
1274,ユエナがしゃがみこんで手招きをしている。,由依奈蹲下身子对我招手。,유에나가 쪼그려 앉아 손짓을 하고 있다.,
1275,ぼくは歩いてそこへ向かう。,我向她那边走去。,나는 그쪽으로 걸어갔다.,
1276,にゃ～。,喵～,야옹~,
1277,猫の鳴き声。,听到了猫叫声。,고양이 울음소리.,
1278,本当にまだいたんだ。,它真的还在啊。,정말로 아직 있구나.,
1279,「えさっ、えさ～」,“猫粮，猫粮～”,"「먹이, 먹이~」",
1280,ユエナが鞄から餌を取り出す。,由依奈从包里取出猫粮。,유에나가 가방에서 고양이 밥을 꺼낸다.,
1281,餌というよりおやつだろう、テレビCMで有名なやつ。,准确来说更像是点心吧，在电视广告上经常看到。,밥보다는 간식이라고 해야겠지. TV 광고로 유명한 그거.,
1282,ユエナが餌を猫に近づける……が,由依奈拿着猫粮走近小猫，但是……,유에나가 먹이를 고양이에게 건네는데…….,
1283,シャーッ,喵！,하악ー,
1284,「わわっ」,“哇哇。”,「와앗.」,
1285,「威嚇されているね。というより嫌われてる？」,“它在表示敌意啊。是不是讨厌我们？”,"「위협하고 있네. 아니, 싫어하는 건가?」",
1286,「まだ一回も、触ったことない」,“我还一次都没碰过小猫呢。”,"「아직 한 번도, 만진 적 없어.」",
1287,ユエナは目を伏せる。,由依奈垂头丧气。,유에나가 눈길을 내리깐다.,
1288,「ぼくは猫を飼ったことないから、正しいかどうかは分からないけど、あんまり猫と目を合わせないといいらしいよ」,“我没养过猫，所以也不知道是不是真的，不过听说不要跟猫对视比较好。”,"「고양이 키워본 적이 없어서 정확히는 모르겠지만, 고양이랑 너무 눈을 마주치지 않는 게 좋다나 봐.」",
1289,「目を合わせないの？」,“不要对视吗？”,「눈을 마주치면 안 돼?」,
1290,「うん、目を合わせると警戒されちゃうってどっかで見たことある。あ、そうだ」,“嗯，我好像在哪听说过跟猫对视会引起猫的警惕。啊，对了。”,"「응. 눈 마주치면 경계하는 걸로 느낀다고 어디서 본 적 있어. 아, 맞다.」",
1291,「ん？」,“嗯？”,「응?」,
1292,「こういう時のスマホだよ」,“手机就是这种时候用的。”,「이럴 때는 스마트폰이야.」,
1293,ぼくはポケットからスマホを取り出す。,我从兜里掏出手机。,나는 주머니에서 스마트폰을 꺼냈다.,
1294,そして『野良猫　なつかれるには』と検索。,然后搜索“如何亲近野猫”。,그리고 『길고양이 친해지려면』이라고 검색.,
1295,「ほら、こうやって検索すると……あ、でた。え……と、うんやっぱり目を合わせちゃだめだって。それと動作はゆっくり」,“你看，像这样搜索……啊，有了。我看看……嗯，网上说不要跟猫对视，而且动作要慢。”,"「봐. 이렇게 검색하면…… 아, 나왔다. 음…… 응. 역시 눈을 마주치면 안 된대. 그리고 동작은 천천히.」",
1296,「うんうんっ」,“嗯嗯。”,"「응, 응!」",
1297,「で、すぐに触ろうとしない、だって」,“网上还说了，不要马上就动手摸猫。”,「또 금방 만지려 들면 안 된다네.」,
1298,「わかった」,“知道了。”,「알겠어.」,
1299,「目を合わせないように、餌だけ猫にあげてみたら？」,“不要跟它对视，只把猫粮递过去试试吧？”,「눈을 마주치지 않고 먹이만 줘 보면 어때?」,
1300,「うんっ」,“嗯。”,「응!」,
1301,ユエナがゆっくり餌を猫に近づけて、視線は猫に向けない。,由依奈慢慢把猫粮递过去，同时移开了视线。,유에나가 천천히 고양이에게 먹이를 건넨다. 시선은 다른 곳을 향했다.,
1302,……でも、,……但是。,……그런데.,
1303,「ユエナさん？」,“由依奈小姐？”,「유에나 양?」,
1304,「ユエナサンじゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,「유에나양이 아니야. 유에나.」,
1305,「あ、うんそうだったごめん。じゃなくて、ユエナ」,“啊，抱歉。不对，重点不是这个。”,"「아, 응. 그랬지. 미안. 그게 아니라 유에나.」",
1306,「なに？」,“怎么了？”,「왜?」,
1307,「猫と目を合わせちゃいけないとは言ったけど、だ、だからってぼくの顔をじっと見る必要はないと思う」,“我是说了不能跟猫对视，但、但你也没必要盯着我看吧。”,"「고양이랑 눈을 마주치지 말라고 했지만, 그, 그렇다고 내 얼굴을 빤히 쳐다볼 필요는 없을 거 같은데.」",
1308,「だめ？」,“不行吗？”,「안 돼?」,
1309,うっ……。ユエナの瞳にドキリとする。,唔……由依奈的双眼让我心跳加速。,윽……. 유에나의 눈동자에 가슴이 뛴다.,
1310,「ダメ、じゃないけど」,“倒、倒也不是不行。”,"「그건, 아니지만.」",
1311,「ともき」,“智纪。”,「토모키.」,
1312,「な、なに？」,“怎、怎么了？”,"「어, 왜?」",
1313,「猫、餌食べてる？」,“小猫在吃了吗？”,"「고양이, 먹이 먹고 있어?」",
1314,「えっ？　あ、今ゆっくり寄ってきてる」,“哎？啊，它在慢慢往这边靠呢。”,"「어? 아, 지금 천천히 다가오는 중.」",
1315,「ほんとっ？」,“真的吗？”,「정말?」,
1316,「うん。そのまま慎重にね」,“嗯，不要乱动。”,「응. 그대로 신중히 있어.」,
1317,にゃ～。,喵～,야옹~,
1318,猫の甘えたような声。,小猫发出了撒娇一般的叫声。,고양이의 간드러진 목소리.,
1319,ひとまず威嚇はしていない。,暂时没有对我们表示敌意。,일단 위협은 하지 않는다.,
1320,そして、,然后——,그리고,
1321,「ゆ、ユエナ！　食べてる食べてる！」,“由、由依奈！它在吃了它在吃了！”,"「유, 유에나! 먹고 있어! 먹고 있어!」",
1322,「ほ、ほんとっ！？」,“真、真的吗？！”,"「저, 정말로!?」",
1323,「うん！　ゆっくり猫を見てみるといいよ。多分、大丈夫だから」,“嗯！你可以慢慢转过去看它，应该没问题了。”,"「응! 이제 천천히 쳐다보면 될 거야. 아마, 괜찮을 거야.」",
1324,「う、うん……」,“嗯、嗯……”,"「아, 응…….」",
1325,ユエナがゆっくり猫に視線を向ける。,由依奈慢慢扭头看向小猫。,유에나가 슬며시 고양이 쪽으로 시선을 옮긴다.,
1326,「ふわわああっ！」,“哇哇哇！”,「흐와아아아!」,
1327,「ともきともきっ、食べてるよ！　餌が、猫食べてるっ」,“智纪智纪，它在吃呢！猫粮在吃猫！”,"「토모키, 토모키! 먹고 있어! 먹이가, 고양이 먹고 있어!」",
1328,「ユエナ逆だよ逆。猫が餌食べる、ね」,“反了反了，是猫在吃猫粮。”,"「유에나. 반대야, 반대. 고양이가 먹이를 먹는 거지.」",
1329,「うん、うん！　可愛いっ」,“嗯、嗯！好可爱。”,"「응, 응! 귀여워라.」",
1330,「うん、そうだね！　可愛い。良かったね、ユエナ！」,“嗯，是啊！好可爱啊。真是太好了，由依奈！”,"「응, 그러게! 귀엽다. 잘됐네, 유에나!」",
1331,「うんっ、かわいい！」,“嗯，可爱！”,"「응, 귀여워!」",
1332,「ボクねボクねっ、猫好きなのにね、いままで寄ってきてくれなかったから、嬉しいっ」,“我很喜欢猫，可是猫却从来不肯亲近我，所以我真的好开心。”,"「있지, 나 있지, 고양이 좋아하는데 지금까지 다가와 주지 않았어. 그래서 너무 기뻐.」",
1333,興奮してテンションのあがっているユエナを見るとこっちまで嬉しくなる。,看着兴高采烈的由依奈，我也不禁感到开心。,흥분한 듯 들뜬 유에나를 보니 나까지 들뜬다.,
1334,「ともきのおかげだね」,“都是多亏了你。”,「토모키 덕분이야.」,
1335,「そ、そうかな？」,“是、是吗？”,"「그, 그런가?」",
1336,「うんっ。ともきのおかげ」,“嗯，是你的功劳。”,「응! 토모키 덕분.」,
1337,そう言われて嬉しくないはずがない。,听到由依奈这么说，我当然很高兴。,그렇게 말해 주니 기쁘지 않을 수 없다.,
1338,「ユエナ、今ならさわ……」,“由依奈，现在的话……”,「유에나. 지금이라면 만지…….」,
1339,そう言おうとした時だった。,我的话刚说到一半。,그렇게 말하려던 순간이었다.,
1340,猫が一生懸命、舌をぺろぺろして餌を食べるのをやめ、ふいっと上を見る。,小猫刚才还在拼命舔着猫粮，现在却突然抬起了头。,"고양이가 열심히 혀를 할짝거리며 먹이를 먹다가, 문득 위를 올려다보았다.",
1341,パチッとユエナと目が合う。,于是便与由依奈对上了视线。,유에나와 눈이 딱 마주친다.,
1342,ニャッ。,喵。,냐앗.,
1343,猫は一声鳴いて、餌の袋を噛んで引っ張る。,小猫叫了一声，然后咬住包装袋开始拉扯。,고양이가 한차례 울더니 먹이를 봉지째 물고 잡아당겼다.,
1344,「あっ」,“啊。”,「앗.」,
1345,ついユエナは手を離すと、猫は餌を咥えたまま走り出した。,由依奈一不小心松开了手，小猫便叼着袋子一路远去。,놀란 유에나가 손을 떼자 고양이는 먹이를 입에 문 채 달려갔다.,
1346,「あ、逃げた」,“啊，它逃走了。”,"「앗, 도망간다.」",
1347,「まて～～！」,“等等～～！”,「기다려~~!」,
1348,すくっとユエナが立ち上がって、追いかける。,由依奈立刻起身追了上去。,유에나가 벌떡 일어나 고양이를 쫓는다.,
1349,ここは屋上なのでもちろん、逃げられる範囲は決まっているけれど、猫は範囲を目一杯使ってユエナから逃げている。,天台上的空间自然是有限的，但小猫充分利用空间拼命从由依奈手下逃跑。,이곳은 옥상이기에 도망칠 수 있는 범위가 한정되어 있다. 그러나 고양이는 이 범위를 충분히 활용하여 유에나에게서 도망치고 있다.,
1350,「猫～っ」,“猫猫～”,「고양이~」,
1351,負けじとユエナも走って追いかけるが一向に追いつく気配はない。,由依奈不肯服输，但完全没有能追上的迹象。,유에나도 지지 않고 달려가지만 도무지 따라잡을 기색이 보이지 않는다.,
1352,「まけないっ」,“我不会输的。”,「안 질 거야!」,
1353,「え？」,“啊？”,「응?」,
1354,「ひゅい～ん！　まてまて～っ」,“咻～！等等～”,「슈웅~! 거기 서라~」,
1355,「あ、ユエナ飛んじゃだ……」,“啊，不能飞起来……”,"「앗, 유에나 날면 안…….」",
1356,そこまで言いかけてやめる。,说到一半我就闭上了嘴。,나는 말허리를 끊었다.,
